"url","name","views"
"/dataset/ReverseWineSnob-com-Wine-Ranking/cv7f-squi","ReverseWineSnob.com Wine Ranking","17770"
"/Government/San-Francisco-Air-Filter-Cartridge-RadNet-Laborato/vew3-webj","San Francisco: Air Filter & Cartridge RadNet Laboratory Analysis","17396"
"/Government/Social-Media-and-Law-Enforcement-Who-Gets-What-Inf/2q2w-fhk6","Social Media and Law Enforcement: Who Gets What Info and When?","16218"
"/Government/Seattle-Drinking-Water-RadNet-Laboratory-Analysis/g8ab-jk7t","Seattle: Drinking Water RadNet Laboratory Analysis","14348"
"/Government/Lista-de-Guarder-as-Subrogadas-por-el-IMSS/v67s-yiqx","Lista de Guarderías Subrogadas por el IMSS","14395"
"/Government/Mapa-de-los-Proyectos-de-Inversi-n-P-blica-en-Ejec/p62z-4uvz","Mapa de los Proyectos de Inversión Pública en Ejecución","14063"
"/Banking-Finance-and-Insurance/SBA-Loan-failure-rate-for-franchisees-in-a-franchi/yiht-4fbq","SBA Loan failure rate for franchisees in a franchise brand","13829"
"/Fun/Criterions-on-Netflix/sfnr-xcnq","Criterions on Netflix","12756"
"/dataset/TWE-finance-Sept-9-2010/gbjv-bew8","TWE finance Sept. 9, 2010","13213"
"/dataset/Map_on_filter/tvz8-wca8","Map_on_filter","1"
"/dataset/RowMode-show/f3ar-zi7k","RowMode=show","1"
"/dataset/Test_new/m9t5-mfyi","Test_new","1"
"/dataset/filter/fxhv-c3mm","filter","1"
"/Business/45s/2pcu-xbxx","45s","1"
"/dataset/Ohio-arsons-per-1-000-by-county/8axx-frtc","Ohio arsons per 1,000 by county","1"
"/dataset/Mosi-Vacant-list/5bqy-2knx","Mosi Vacant list","1"
"/Education/Quest-o-4-Projeto-W1/b8s3-ar3e","Questão 4 Projeto W1","1"
"/dataset/sort/vtwp-u4zq","sort","1"
"/dataset/Ohio-property-crimes-per-1-000-by-county/sre9-7zd2","Ohio property crimes per 1,000 by county","1"
"/Education/Quest-o-4-Projeto-X9/am7v-6jxe","Questão 4 - Projeto X9","1"
"/dataset/SPLOST-Test/s4ay-mabv","SPLOST Test","1"
"/Government/Total-Grant-Amounts/tzti-rgg8","Total Grant Amounts","1"
"/dataset/Population-data/jq7s-tnga","Population data","1"
"/dataset/my-socrata/58ud-cxxx","my socrata","1"
"/dataset/map_zoomed/w5q8-r98i","map_zoomed","1"
"/dataset/filtered/qw3b-zr4g","filtered","1"
"/dataset/2_filters_test/nyzg-z6wd","2_filters_test","1"
"/dataset/t/2wvw-yjpi","t","1"
"/Education/Early-Learning-Program-by-Area-Code/behz-qtze","Early Learning Program by Area Code","1"
"/Business/Inventory-Main-Public/jtne-3nhu","Inventory Main Public","5779"
"/dataset/VA-2010-Census-Population-By-Race/pnj7-fdqg","VA 2010 Census Population By Race","5742"
"/dataset/Smart-Grid-Funding-Map/yefd-dygx","Smart Grid Funding Map","5532"
"/Government/House-Disbursements-Detail-2009-Q3/s27v-9zjj","House Disbursements Detail 2009 Q3","5429"
"/Personal/2010-Grade-National-Chess-Tournament-Orlando-FL/zsvu-nc8w","2010 Grade National Chess Tournament, Orlando FL","5403"
"/Fun/UmWeichselbrunn/ai5f-3azp","UmWeichselbrunn","5241"
"/Education/UK-Cisco-Router-Repair-Companies-in-London/3usb-kpy5","UK Cisco Router Repair Companies in London","2"
"/dataset/Why-Tax-Preparation-is-important-for-business-owne/cj8u-459h","Why Tax Preparation is important for business owners?","2"
"/Education/SBL-Abbreviations/bpbv-52wq","SBL Abbreviations","4659"
"/Government/Freshman/u7xw-x9v3","Freshman","5223"
"/Government/Proyectos-de-Inversi-n-P-blica-2012/fzt7-q42i","Proyectos de Inversión Pública 2012","5072"
"/Business/Resources/a8nm-7ny3","Resources","5100"
"/dataset/allblacks/hc6z-crxb","allblacks","2"
"/dataset/Chart-2/fcai-mgfx","Chart 2","2"
"/dataset/livre/t9cs-tzcy","livre","2"
"/dataset/Ohio-Counties-Violent-Crime-Per-1-000/76xf-bg45","Ohio Counties Violent Crime Per 1,000","2"
"/Business/3D-Dental/ja3z-6yp2","3D Dental","2"
"/Business/Save-your-time-and-cash-by-choosing-right-applianc/jffi-6rk5","Save your time and cash by choosing right appliance repair service","2"
"/dataset/Top25/qs3b-7kxx","Top25","2"
"/Government/Galveston-Nonprofits/k3im-a84y","Galveston Nonprofits","1"
"/dataset/Dataset/hc8u-dcu9","Dataset","1"
"/Education/Pie-Chart-2011-Populations/uu26-8sr7","Pie Chart 2011 Populations","1"
"/Business/New-Arrivals/svkf-irie","New Arrivals","1"
"/dataset/Open-Data-Repositories-Responses-Form-Responses/a346-gbxx","Open Data Repositories ( Responses) - Form Responses","2"
"/dataset/UK-Cisco-Router-Repair-Companies-in-London/7ady-y9ba","UK Cisco Router Repair Companies in London","2"
"/dataset/Networking-System-in-London-UK/8tiq-jaww","Networking System in London UK","2"
"/dataset/Buy-Cisco-Equipment-in-London-UK/mf9q-ce25","Buy Cisco Equipment in London UK","2"
"/dataset/ACO-Tree-Map/w4uh-36rm","ACO Tree Map","2"
"/dataset/Accountable-Care-Organizations-in-California/nvwm-62mw","Accountable Care Organizations in California","12"
"/dataset/Outpatient-Drug-and-Alcohol-Treatments-Florida/fs63-7bpf","Outpatient Drug and Alcohol Treatments Florida","2"
"/Government/CDC-Suspected-Swine-Flu-Cases-Map/8uw8-rtje","CDC Suspected Swine Flu Cases Map","4723"
"/Government/Denver-Precipitation-RadNet-Laboratory-Analysis/saj3-ri8t","Denver: Precipitation RadNet Laboratory Analysis","4939"
"/Government/FAA-National-Wildlife-Aircraft-Strike-Database-Yea/9r8b-gr46","FAA National Wildlife Aircraft Strike Database (Year 2000 and after)","2263"
"/Government/Phoenix-Air-Filter-Cartridge-RadNet-Laboratory-Ana/ebii-7yie","Phoenix: Air Filter & Cartridge RadNet Laboratory Analysis","4894"
"/Government/Phoenix-Milk-RadNet-Laboratory-Analysis/6ep2-ky6t","Phoenix: Milk RadNet Laboratory Analysis","4867"
"/Government/USPS-Proposed-Station-Closures/yttn-5rye","USPS Proposed Station Closures","4781"
"/Business/Inventory-Dataset/ip7p-fhg8","Inventory Dataset","3623"
"/Government/Percentage-of-Population-Below-the-Poverty-Line/5u5p-8sij","Percentage of Population Below the Poverty Line","3470"
"/Government/Idaho-Falls-Drinking-Water-RadNet-Laboratory-Analy/57y4-byrf","Idaho Falls: Drinking Water RadNet Laboratory Analysis","4661"
"/Government/Boise-Precipitation-RadNet-Laboratory-Analysis/bwa2-sq6w","Boise: Precipitation RadNet Laboratory Analysis","4568"
"/Government/Boise-Air-Filter-Cartridge-RadNet-Laboratory-Analy/pbed-jkgc","Boise: Air Filter & Cartridge RadNet Laboratory Analysis","4558"
"/dataset/2008-BOLD-Survey-of-Puget-Sound-Levels-for-PCB-Con/ewv9-5b9a","2008 BOLD Survey of Puget Sound Levels for PCB Congeners","4519"
"/Personal/2010-Burt-Lerner-National-Elementary-K-6-Chess-Cha/ie4j-sd5v","2010 Burt Lerner National Elementary (K-6) Chess Championship","4518"
"/Education/Payment-Type-MBTA-Subway-Lines-September-8-2009/yd8g-q8zb","Payment Type, MBTA Subway Lines, September 8, 2009","4465"
"/Government/Riverside-Air-Filter-Cartridge-RadNet-Laboratory-A/ufda-eyf8","Riverside: Air Filter & Cartridge RadNet Laboratory Analysis","4462"
"/Personal/How-to-Volunteer-at-a-Soup-Kitchen/fw6u-sgth","How to Volunteer at a Soup Kitchen","4436"
"/Government/Title-I-Grants-to-School-Districts-All-States/xean-ic26","Title I Grants to School Districts -- All States","4235"
"/Government/Mapa-de-los-Proyectos-de-Inversi-n-P-blica-2012-en/uwgq-ckdm","Mapa de los Proyectos de Inversión Pública 2012 en Ejecución","4405"
"/Education/Payment-Type-MBTA-Bus-Routes-September-8-2009/hswa-3ybf","Payment Type, MBTA Bus Routes, September 8, 2009","4398"
"/Government/Oahu-Air-Filter-Cartridge-RadNet-Laboratory-Analys/83cu-i4nz","Oahu: Air Filter & Cartridge RadNet Laboratory Analysis","4373"
"/Government/House-Committee-Disbursements-Detail-2009-Q3/rwgv-xsvp","House Committee Disbursements Detail 2009 Q3","4338"
"/Government/San-Bernardino-Air-Filter-Cartridge-RadNet-Laborat/rcpa-5jxn","San Bernardino: Air Filter & Cartridge RadNet Laboratory Analysis","4337"
"/Education/CaddoLanguage/kerq-ib5s","CaddoLanguage","4099"
"/dataset/Playdatabase-s-Most-Popular-Plays/qbhz-8u2d","Playdatabase's Most Popular Plays","4267"
"/dataset/OECD-Broadband-Average-Download-Speed-by-Country/jnqr-srth","OECD Broadband Average Download Speed by Country","4228"
"/Government/Kauai-Air-Filter-Cartridge-RadNet-Laboratory-Analy/wzt3-jp8y","Kauai: Air Filter & Cartridge RadNet Laboratory Analysis","3929"
"/dataset/NEPA-Public-Comments/6peu-b86u","NEPA Public Comments","4037"
"/Government/Interagency-Ocean-Policy-Task-Force-Framework-Comm/y347-w3ye","Interagency Ocean Policy Task Force Framework Comments","4134"
"/dataset/2010-El-Tour-de-Tucson/h9hj-t6ti","2010 El Tour de Tucson","4110"
"/dataset/CCS-Funding-Map/ypr5-uyeq","CCS Funding Map","4092"
"/dataset/Dataset/7pz4-r424","Dataset","2"
"/Personal/Divorce-Mediation-Northern-Virginia/34gb-qpt8","Divorce Mediation Northern Virginia","2"
"/Education/Quest-o-4-Projeto-Y3/s95n-ex3n","Questão 4 - Projeto Y3","2"
"/Education/Outpatient-Drug-and-Alcohol-Treatments-in-Florida/cpai-bqxv","Outpatient Drug and Alcohol Treatments in Florida","2"
"/dataset/Elder-Care-Washington-DC/68ap-3e5k","Elder Care Washington DC","2"
"/Education/Un-zoomed-Boundary-Map/twct-mum5","Un-zoomed Boundary Map","2"
"/Business/Virginia-Accounting-Services/untq-z9r9","Virginia Accounting Services","2"
"/Business/Why-to-Opt-Advanced-Education-in-General-Dentistry/mty3-9e5z","Why to Opt Advanced Education in General Dentistry?","2"
"/dataset/2010-OHIO-STATS/56zf-jm6n","2010 OHIO STATS","2"
"/Education/Heat-Map-Overall-Unzoomed/kjbf-2xte","Heat Map Overall - Unzoomed","2"
"/Government/surface-water/2tzq-3zki","surface water","2"
"/Education/Heat-Map-Zoom-1/pqhj-9hd9","Heat Map Zoom 1","2"
"/Business/Save-your-time-and-cash-by-choosing-right-applianc/b689-fwbf","Save your time and cash by choosing right appliance repair service","2"
"/Education/relatorio_questao-4_horas-por-tarefa/hv8x-mw3y","relatorio_questao 4_horas por tarefa","2"
"/Personal/New-York-Cloud-Computing-and-Security-Challenges-F/24ji-2r8h","New York Cloud Computing and Security Challenges For Your Business","2"
"/dataset/Senior-Home-Care-Enhance-Quality-of-Life/uxfi-cag6","Senior Home Care Enhance Quality of Life","2"
"/dataset/Payson-s-burglaries-in-2012/kpsn-pktx","Payson's burglaries in 2012","2"
"/dataset/Rollup-Graduation-Rate-of-Subgroups-by-Year/isi4-jk84","Rollup Graduation Rate of Subgroups by Year","2"
"/Education/Vitiligo-Natural-Treatment/a4sx-9era","Vitiligo Natural Treatment","2"
"/dataset/Crimechart/7cr2-6tu4","Crimechart","2"
"/Business/aaa/k2hu-b7rc","aaa","2"
"/Education/Quest-o-4-Projeto-X7/fxnf-apdn","Questão 4 - Projeto X7","2"
"/Business/cloud-services-in-VA/medf-vudr","cloud services in VA","2"
"/Business/Professional-Home-Care-Agencies-Can-Prevent-Potent/yh7i-wzgu","Professional Home Care Agencies Can Prevent Potential Senior Abuse","2"
"/Fun/Get-IT-Support-in-New-York-to-Improve-Your-Network/fgz9-w84t","Get IT Support in New York to Improve Your Network Security","2"
"/dataset/Grupo-3/g59g-9qn9","Grupo 3","2"
"/Business/Important-considerations-in-Auto-repair/cn9f-m3y9","Important considerations in Auto repair","2"
"/dataset/Window-Tinting-Washington/anmj-eh7d","Window Tinting Washington","2"
"/Fun/1900-Southeastern-States/m5im-byxt","1900 Southeastern States","2"
"/Personal/New-York-Cloud-Computing-and-Security-Challenges-F/6rg9-995d","New York Cloud Computing and Security Challenges For Your Business","2"
"/Government/House-Committee-Disbursements-Summary-2009-Q3/jrzy-2ik9","House Committee Disbursements Summary 2009 Q3","4082"
"/dataset/YouTube-most-viewed-ANIMAL-videos/ck3r-eyyf","YouTube mosted ANIMAL videos","4055"
"/Government/Most-common-reasons-for-food-recalls/9iuc-3wkn","Most common reasons for food recalls","3860"
"/Government/Cash-for-Clunkers-Separated-by-Make/6k5e-6bkv","Cash for Clunkers Separated by Make","3218"
"/dataset/American-Rhetoric-s-Top-100-Speeches-of-the-20th-C/2wqi-bkqm","American Rhetoric's Top 100 Speeches of the 20th Century","3860"
"/dataset/World-news-site-traffic-chart/gafn-f9gr","World news site traffic chart","3882"
"/Government/Mapa-de-los-Proyectos-de-Inversi-n-P-blica-2011-en/6v98-45z7","Mapa de los Proyectos de Inversión Pública 2011 en Ejecución","3852"
"/dataset/Utah-Average-Wage-For-Hourly-Workers/us9r-qb2p","Utah Average Wage For Hourly Workers","2692"
"/Government/Reno-Milk-RadNet-Laboratory-Analysis/tux7-a88y","Reno: Milk RadNet Laboratory Analysis","3391"
"/Government/Las-Vegas-Drinking-Water-RadNet-Laboratory-Analysi/psuy-f4ih","Las Vegas: Drinking Water RadNet Laboratory Analysis","3772"
"/Business/Top-5-000-Companies-from-INC-com/n4ex-cets","Top 5,000 Companies from INC.com","2300"
"/Government/Las-Vegas-Air-Filter-Cartridge-RadNet-Laboratory-A/grbr-cp4s","Las Vegas: Air Filter & Cartridge RadNet Laboratory Analysis","3732"
"/Government/Spokane-Milk-RadNet-Laboratory-Analysis/jt9u-bhsf","Spokane: Milk RadNet Laboratory Analysis","3729"
"/Government/St-Paul-Precipitation-RadNet-Laboratory-Analysis/df8q-c83t","St. Paul: Precipitation RadNet Laboratory Analysis","3718"
"/Government/New-York-Drinking-Water-RadNet-Laboratory-Analysis/s4px-h2b4","New York: Drinking Water RadNet Laboratory Analysis","3705"
"/dataset/Alberta-Bitumen-Upgrading/dp2g-3mg7","Alberta Bitumen Upgrading","3668"
"/dataset/South-Lee-County-Intersections/z9da-9rtx","South Lee County Intersections","3625"
"/dataset/Collier-County-Intersections/m72s-998v","Collier County Intersections","3620"
"/Education/SF-API-2010-scores-csv/pnh7-28ve","SF API 2010 scores.csv","3552"
"/Education/SMC-API-2010-scores-xls/r884-455n","SMC API 2010 scores.xls","3482"
"/dataset/Outpatient-Drug-and-Alcohol-Treatments-in-Florida/yexb-rc2u","Outpatient Drug and Alcohol Treatments in Florida","2"
"/dataset/Vitiligo-herbal-treatment/wg8c-9q3i","Vitiligo herbal treatment","2"
"/Government/Map-of-State-Open-Data-Portals/ggk3-dpgw","Map of State Open Data Portals","2"
"/dataset/Ethereal-Massage-Saskatoon-Canada/bdm3-vjvn","Ethereal Massage Saskatoon Canada","2"
"/Education/KRS/tmi7-29mb","KRS","2"
"/dataset/Graduation-Rates-of-Subgroups-by-Year/9a2u-3zwy","Graduation Rates of Subgroups by Year","2"
"/Business/Callam-Stream/v98e-dfij","Callam Stream","2"
"/Personal/New-York-Cloud-Computing/k4kc-cfdh","New York Cloud Computing","2"
"/Government/Proyectos-inversion-publica-2011_Lima/4dgx-6e2c","Proyectos inversion publica 2011_Lima","2"
"/Education/Quest-o-4-Projeto-Y5/utcg-qvwm","Questão 4 - Projeto Y5","2"
"/Fun/2009-NFL-Schedule/4b3q-d976","2009 NFL Schedule","2628"
"/Government/Oklahoma-Stimulus-non-reporters/cbmp-fkgk","Oklahoma Stimulus non-reporters","3410"
"/Government/1990-1999-Reported-Aircraft-Wildlife-Bird-Strikes/inea-i3an","1990-1999 Reported Aircraft Wildlife (Bird) Strikes","2043"
"/dataset/Top-15-Hispanic-Dolls-Ranked-in-Order-/586s-2zps","Top 15 Hispanic Dolls (Ranked in Order)","3335"
"/dataset/White-House-Staff-Salaries/3s73-w77u","White House Staff Salaries","3314"
"/Government/Bookshelf-4-B-Ds-annual-reports/gcei-bxi7","Bookshelf 4 - B/Ds annual reports","3256"
"/Government/Capital-Purchase-Program-Transactions/vfi8-m34e","Capital Purchase Program Transactions","3009"
"/Government/Expenditure-Report-Period-Ending-3-31-2011/cddz-6862","Expenditure Report Period Ending 3/31/2011","3186"
"/Government/Boise-Drinking-Water-RadNet-Laboratory-Analysis/sw8k-zz68","Boise: Drinking Water RadNet Laboratory Analysis","3159"
"/Education/Newspapers-Wires-Covering-Federal-Agencies/8zkb-rm5a","Newspapers/Wires Covering Federal Agencies","3137"
"/dataset/Garda-All/dxx6-qun4","Garda All","3110"
"/dataset/State-Farm-Deer-Collision-Data/rtpb-yucm","State Farm Deer Collision Data","3087"
"/Education/Analytical-Anarchism-Literature/bggg-qpgz","Analytical Anarchism Literature","3100"
"/dataset/Jacques-Libre-cours/sjgv-dvi3","Jacques-Libre cours","3057"
"/Government/U-S-Congress/45vt-g2zi","U.S. Congress","2038"
"/dataset/AKC-s-Top-50-Dog-Breeds/2es9-pgpu","AKC's Top 50 Dog Breeds","3063"
"/Fun/Black-Friday-Deals-2009/uswq-fwhg","Black Friday Deals 2009","2477"
"/dataset/FAS-expenses-2005/xx5i-ia8y","FAS expenses 2005","3047"
"/Government/Govenment-Employee-Discounts/3592-x988","Govenment Employee Discounts","3035"
"/dataset/Open-Data-Sites-Around-the-World/94yk-sv28","Open Data Sites Around the World","3067"
"/dataset/stacked-chart/r5m6-q8mn","stacked chart","2"
"/Education/1790-Pie-Chart/gqbv-thv5","1790 Pie Chart","2"
"/dataset/Benefits-of-Using-Animation-in-Web-Site-Design-Pro/adsy-wxpp","Benefits of Using Animation in Web Site Design Projects","2"
"/dataset/3d-Cartoon-Movies-are-good-for-Entertainment/f5b7-jskj","3d Cartoon Movies are good for Entertainment","2"
"/Business/How-Can-IT-Consulting-Business-Handle-Your-Online-/8tkn-j67x","How Can IT Consulting Business Handle Your Online Endeavors","2"
"/dataset/Get-Quality-Ecommerce-Web-Design-and-increase-your/jrxg-irc2","Get Quality Ecommerce Web Design and increase your business potential","2"
"/dataset/Michael-Anthony-s-Spaces-on-Posterous/77et-upuq","Michael Anthony's Spaces on Posterous","2"
